food_id,food_name,category_id,price_per_unit,description
1,Wireless Mouse,3,4.49,Roasted cashews coated in honey and sesame seeds for a sweet treat.
2,Bluetooth Headphones,2,19.99,Wi-Fi enabled plug for controlling devices from your smartphone.
3,Smartphone Stand,9,5.79,Lentils cooked in a coconut curry for a hearty meal.
4,Fitness Tracker,13,22.99,Wax warmer for creating a soothing atmosphere with fragrances.
5,LED Desk Lamp,15,12.99,Effective laundry detergent for a deep clean.
6,Mechanical Keyboard,14,149.99,Compact fire pit for campfires and gatherings.
7,Portable SSD,10,2.29,Fresh cabbage and carrot slaw mix for salads.
8,Smartwatch,12,3.29,Savory sauce perfect for pasta or dipping.
9,Coffee Maker,6,4.99,"Ready-to-eat salad with kale, lemon, and cheese."
10,Yoga Mat,14,2.29,"Flavorful mustard with a tangy kick, perfect for hot dogs and sandwiches."
11,Electric Kettle,2,3.49,Delicious noodles tossed in a sesamegarlic sauce.
12,Gaming Mousepad,5,3.99,A sweet and spicy sauce for dipping or glazing.
13,Laptop Stand,15,6.99,Finely ground almonds for baking or cooking
14,Air Fryer,1,12.99,"Versatile holder that can be used on desks, cars, and more."
15,Wireless Charger,5,4.49,A rich pesto made with sun-dried tomatoes and pine nuts.
16,Multi-Tool,13,2.49,Low-calorie rice cake for snacks.
17,Backpack,11,19.99,Fun light that creates a disco atmosphere for parties.
18,Scented Candles,2,79.99,Therapeutic weighted blanket for better sleep.
19,Pressure Cooker,15,49.99,A tailored slim fit shirt for a polished look at work.
20,Skincare Set,7,89.99,Rechargeable massage gun for relieving muscle soreness.
21,Electric Toothbrush,12,22.99,Colorful and child-friendly gardening tools for little hands.
22,Portable Blender,8,89.99,Powerful grinder for making sausage and burgers at home.
23,Travel Pillow,15,3.49,"A light and tangy dressing with poppy seeds, perfect for salads."
24,Wall Art,15,24.99,Ear protection for shooting and industrial use.
25,Cat Tree,8,89.99,Timeless belted trench coat for a polished look during fall.
26,Dog Collar,7,5.49,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer."
27,Electric Screwdriver,7,49.99,Durable ceramic bakeware for casseroles and desserts.
28,Video Camera,5,3.79,"Sweet bread with cinnamon and raisins, great for breakfast or snacks."
29,Air Purifier,5,59.99,Instant hot water dispenser for tea and cooking.
30,Picnic Blanket,5,19.99,Battery-operated motion sensor light for safety.
31,Wireless Printer,7,149.99,Lightweight leaf blower for maintaining outdoor spaces.
32,Pasta Maker,3,99.99,Complete tattoo kit for beginners and professionals.
33,Car Vacuum,10,4.99,A flavorful pasta sauce made with roasted garlic.
34,Board Game,11,59.99,Relax and soothe tired feet with this foot spa.
35,Gardening Tools Set,3,49.95,Rechargeable electric toothbrush with smart timer.
36,Camping Tent,15,12.99,Multi-functional tool for emergency situations in the car.
37,Bamboo Cutting Board,3,3.79,"Sweet and fruity peach preserves, perfect for spreading on toast."
38,Sunglasses,8,24.99,Indoor gardening kit with herbs and pots.
39,Wireless Earbuds,4,12.99,Durable yoga strap for deeper stretches.
40,Cookbook,12,89.99,Compact charcoal grill perfect for tailgating.
41,Water Bottle,8,49.99,Anti-fog ski goggles for winter sports.
42,Smart Home Hub,8,2.99,"Sweet and salty kettle corn, perfect for snacking."
43,Nail Polish Set,2,1.89,"Frozen green peas, a great addition to meals."
44,Drone,6,19.99,Charming frame to showcase your favorite photos.
45,Stainless Steel Water Bottle,13,5.99,"Savory, protein-rich beef jerky for on-the-go snacking."
46,Phone Case,11,3.49,Classic marinara sauce for all pasta dishes.
47,Electric Skillet,10,24.99,Compact fan for personal cooling at work or home.
48,Digital Camera,13,2.99,"Spicy chili in a can, ready to eat for a filling meal."
49,Guitar Tuner,15,29.99,Quick-boiling kettle for home and office use.
50,Yoga Blocks,15,3.89,A flavorful sauce made with coconut milk and spices.
51,Laptop Backpack,2,3.49,Crispy apple chips drizzled with caramel for a sweet treat.
52,Pet Grooming Kit,5,49.99,Large stir fry pan with non-stick surface.
53,Wireless Security Camera,1,89.99,Convenient stroller for pets to enjoy outdoor walks.
54,Hiking Boots,9,79.99,Cordless handheld vacuum for quick cleanups.
55,Electric Razor,4,89.99,Stabilizer for smooth video recording with smartphones.
56,Puzzle,12,4.99,Dairy-free cheese alternative for your favorite dishes.
57,USB Flash Drive,8,1.89,"Crisp and sweet Honeycrisp apples, freshly picked."
58,Sketchbook,7,11.99,High-precision oven thermometer for accurate cooking.
59,Infrared Thermometer,15,59.99,Rechargeable electric razor for a smooth shave.
60,Camping Chair,3,4.99,"A simple, no-bake cheesecake mix to create your own delicious cheesecake."
61,Graphic Tee,9,2.79,Rich and creamy almond milk with a hint of chocolate.
62,Oven Mitts,14,249.99,High-resolution camera for stunning photos.
63,Smart Thermostat,13,2.29,A mix to create a delicious onion dip for parties or snacking.
64,Portable Phone Charger,15,3.49,Juicy raisins coated in rich dark chocolate.
65,Face Mask Set,8,64.99,Waterproof rain jacket with adjustable hood.
66,Dish Rack,11,14.99,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner."
67,Protein Powder,6,14.99,Digital scale to avoid overweight baggage fees.
68,Bicycle Lock,6,19.99,Comfortable support brace to relieve wrist pain.
69,Spice Rack,9,29.99,Compact hair straightener for travel.
70,Electric Blanket,11,1.29,Instant mix for creamy vanilla pudding.
71,Cushion Covers,7,2.99,"Quick oatmeal cups with banana and nut flavor, great for breakfast."
72,Gaming Headset,5,4.99,"Frozen pizza rolls stuffed with spinach and cheese, perfect for snacking."
73,Wooden Blocks,3,34.99,Practical organizer for keeping your home tidy and clutter-free.
74,Tennis Racket,13,1.89,Wide pasta sheets for making lasagna.
75,Scent Diffuser,14,3.19,"Crunchy peanuts coated in honey, perfect for snacking."
